,Latitude,Longitude,Neighbourhood
0,43.8080383,-79.266439,"Agincourt North,Toronto,ON"
1,43.78866,-79.26561,"Agincourt South-Malvern West,Toronto,ON"
2,43.6017173,-79.545233,"Alderwood,Toronto,ON"
3,43.6703377,-79.407117,"Annex,Toronto,ON"
4,43.73766,-79.34972,"Banbury-Don Mills,Toronto,ON"
5,43.76481,-79.45606,"Bathurst Manor,Toronto,ON"
6,43.65751,-79.38572,"Bay Street Corridor,Toronto,ON"
7,43.77639,-79.38028,"Bayview Village,Toronto,ON"
8,43.7981268,-79.382973,"Bayview Woods-Steeles,Toronto,ON"
9,43.73149,-79.42023,"Bedford Park-Nortown,Toronto,ON"
10,43.69322,-79.47947,"Beechborough-Greenbrook,Toronto,ON"
11,43.7535196,-79.255336,"Bendale,Toronto,ON"
12,43.69468,-79.26509,"Birchcliffe-Cliffside,Toronto,ON"
13,43.76489,-79.52198,"Black Creek,Toronto,ON"
14,43.67617,-79.33739,"Blake-Jones,Toronto,ON"
15,43.69902,-79.45285,"Briar Hill-Belgravia,Toronto,ON"
16,43.73101,-79.37891,"Bridle Path-Sunnybrook-York Mills,Toronto,ON"
17,43.68883,-79.35563,"Broadview North,Toronto,ON"
18,43.70133,-79.48559,"Brookhaven-Amesbury,Toronto,ON"
19,43.6668467,-79.369179,"Cabbagetown-South St. James Town,Toronto,ON"
20,43.68857,-79.45521,"Caledonia-Fairbank,Toronto,ON"
21,43.6781015,-79.409416,"Casa Loma,Toronto,ON"
22,43.7874914,-79.150768,"Centennial Scarborough,Toronto,ON"
23,43.65965,-79.37902,"Church-Yonge Corridor,Toronto,ON"
24,43.71359,-79.28138,"Clairlea-Birchmount,Toronto,ON"
25,43.7441238,-79.447146,"Clanton Park,Toronto,ON"
26,43.7218363,-79.236214,"Cliffcrest,Toronto,ON"
27,43.67766,-79.44747,"Corso Italia-Davenport,Toronto,ON"
28,43.68403,-79.32982,"Danforth,Toronto,ON"
29,43.68947,-79.3314,"Danforth East York,Toronto,ON"
30,43.78329,-79.35364,"Don Valley Village,Toronto,ON"
31,43.7528467,-79.282067,"Dorset Park,Toronto,ON"
32,43.66568,-79.43854,"Dovercourt-Wallace Emerson-Junction,Toronto,ON"
33,43.73329, -79.49049,"Downsview-Roding-CFB,Toronto,ON"
34,43.65766,-79.42793,"Dufferin Grove,Toronto,ON"
35,43.68417,-79.29936,"East End-Danforth,Toronto,ON"
36,43.670672,-79.518855,"Edenbridge-Humber Valley,Toronto,ON"
37,43.73917,-79.24576,"Eglinton East,Toronto,ON"
38,43.7217699,-79.552173,"Elms-Old Rexdale,Toronto,ON"
39,43.7115939,-79.436001,"Englemount-Lawrence,Toronto,ON"
40,43.65802,-79.58044,"Eringate-Centennial-West Deane,Toronto,ON"
41,43.6435491,-79.565325,"Etobicoke West Mall,Toronto,ON"
42,43.7184315,-79.333204,"Flemingdon Park,Toronto,ON"
43,43.70422,-79.42814,"Forest Hill North,Toronto,ON"
44,43.6935586,-79.413902,"Forest Hill South,Toronto,ON"
45,43.74564,-79.51347,"Glenfield-Jane Heights,Toronto,ON"
46,43.68035,-79.32661,"Greenwood-Coxwell,Toronto,ON"
47,43.75262,-79.19486,"Guildwood,Toronto,ON"
48,43.7695089,-79.354296,"Henry Farm,Toronto,ON"
49,43.6573833,-79.470961,"High Park North,Toronto,ON"
50,43.64506,-79.46787,"High Park-Swansea,Toronto,ON"
51,43.7901172,-79.173334,"Highland Creek,Toronto,ON"
52,43.80486,-79.35442,"Hillcrest Village,Toronto,ON"
53,43.69223,-79.52242,"Humber Heights-Westmount,Toronto,ON"
54,43.7600778,-79.57176,"Humber Summit,Toronto,ON"
55,43.7525,-79.54417,"Humbermede,Toronto,ON"
56,43.6883215,-79.428081,"Humewood-Cedarvale,Toronto,ON"
57,43.73694,-79.27333,"Ionview,Toronto,ON"
58,43.63347,-79.54332,"Islington-City Centre West,Toronto,ON"
59,43.6654775,-79.470352,"Junction Area,Toronto,ON"
60,43.68573,-79.47144,"Keelesdale-Eglinton West,Toronto,ON"
61,43.72267,-79.26052,"Kennedy Park,Toronto,ON"
62,43.65355,-79.39724,"Kensington-Chinatown,Toronto,ON"
63,43.69899,-79.54786,"Kingsview Village-The Westway,Toronto,ON"
64,43.65352,-79.51058,"Kingsway South,Toronto,ON"
65,43.65742,-79.49605,"Lambton Baby Point,Toronto,ON"
66,43.799003,-79.305967,"L'Amoreaux,Toronto,ON"
67,43.7589503,-79.422556,"Lansing-Westgate,Toronto,ON"
68,43.729199,-79.403253,"Lawrence Park North,Toronto,ON"
69,43.71721,-79.40604,"Lawrence Park South,Toronto,ON"
70,43.7038,-79.36607,"Leaside-Bennington,Toronto,ON"
71,43.6474133,-79.431116,"Little Portugal,Toronto,ON"
72,43.5914,-79.53252,"Long Branch,Toronto,ON"
73,43.8091955,-79.221701,"Malvern,Toronto,ON"
74,43.71557,-79.48076,"Maple Leaf,Toronto,ON"
75,43.63347,-79.57569,"Markland Wood,Toronto,ON"
76,43.82499,-79.29872,"Milliken,Toronto,ON"
77,43.61616,-79.51269,"Mimico (includes Humber Bay Shores),Toronto,ON"
78,43.7826012,-79.204958,"Morningside,Toronto,ON"
79,43.6546438,-79.369728,"Moss Park,Toronto,ON"
80,43.68694,-79.48917,"Mount Dennis,Toronto,ON"
81,43.74687,-79.58726,"Mount Olive-Silverstone-Jamestown,Toronto,ON"
82,43.70485,-79.38492,"Mount Pleasant East,Toronto,ON"
83,43.70444,-79.39336,"Mount Pleasant West,Toronto,ON"
84,43.6007625,-79.505264,"New Toronto,Toronto,ON"
85,43.79154,-79.40594,"Newtonbrook East,Toronto,ON"
86,43.78583,-79.43142,"Newtonbrook West,Toronto,ON"
87,43.64455,-79.40712,"Niagara,Toronto,ON"
88,43.672,-79.35126,"North Riverdale,Toronto,ON"
89,43.6694032,-79.372704,"North St. James Town,Toronto,ON"
90,43.6971738,-79.274823,"Oakridge,Toronto,ON"
91,43.6827255,-79.438055,"Oakwood Village,Toronto,ON"
92,43.7068,-79.31223,"O'Connor-Parkview,Toronto,ON"
93,43.699971,-79.33252,"Old East York,Toronto,ON"
94,43.6600648,-79.411806,"Palmerston-Little Italy,Toronto,ON"
95,43.75503,-79.33018,"Parkwoods-Donalda,Toronto,ON"
96,43.71752,-79.52828,"Pelmo Park-Humberlea,Toronto,ON"
97,43.6786661,-79.355518,"Playter Estates-Danforth,Toronto,ON"
98,43.787048,-79.333714,"Pleasant View,Toronto,ON"
99,43.66605,-79.54456,"Princess-Rosethorn,Toronto,ON"
100,43.6607056,-79.360457,"Regent Park,Toronto,ON"
101,43.72373,-79.56623,"Rexdale-Kipling,Toronto,ON"
102,43.67479,-79.49442,"Rockcliffe-Smythe,Toronto,ON"
103,43.64887,-79.45016,"Roncesvalles,Toronto,ON"
